[15 sept 22:46:10] Logged out, Player:Zell[268476768]
[15 sept 22:46:10] Created new character, Player:Zell[268476768], [Account: blido - IP: 127.0.0.1]
[15 sept 22:46:12] Logged in, [Character: Zell[268476768] - Account: blido - IP: 127.0.0.1]
[15 sept 23:06:27] Logged out, Player:Zell[268476768]
[15 sept 23:07:10] Logged in, [Character: Zell[268476768] - Account: blido - IP: 127.0.0.1]
[15 sept 23:16:24] Logged out, Player:Zell[268476768]
[19 Sep 10:23:10] Logged out, Player:Dafny[268476745]
[19 Sep 10:23:10] Created new character, Player:Dafny[268476745], [Account: dex - IP: 127.0.0.1]
[19 Sep 10:23:13] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 10:27:11] Logged out, Player:Tordil[268476752]
[19 Sep 10:27:11] Logged out, Player:Vaeaelan[268476753]
[19 Sep 10:27:11] Logged out, Player:Dafny[268476745]
[19 Sep 10:27:11] Logged out, Player:Eilvyn[268476750]
[19 Sep 10:27:11] Logged out, Player:Ulrok[268476751]
[19 Sep 11:55:14] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 11:57:22] Logged out, Player:Dafny[268476745]
[19 Sep 11:57:55] Logged out, Player:root[268476879]
[19 Sep 11:57:55] Created new character, Player:root[268476879], [Account: admin - IP: 127.0.0.1]
[19 Sep 11:57:56] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 12:05:35] Logged out, Player:root[268476879]
[19 Sep 12:05:38] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 12:08:11] Logged out, Player:root[268476879]
[19 Sep 12:08:13] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 12:16:32] Logged out, Player:Belmir[268477776]
[19 Sep 12:16:32] Logged out, Player:Orinuradil[268477778]
[19 Sep 12:16:32] Logged out, Player:Itharas[268477971]
[19 Sep 12:16:32] Logged out, Player:Zephielwen[268477941]
[19 Sep 12:16:32] Logged out, Player:Wyndorgar[268477771]
[19 Sep 12:16:32] Logged out, Player:Ashenel[268477772]
[19 Sep 12:16:32] Logged out, Player:Ithodil[268477774]
[19 Sep 12:16:32] Logged out, Player:root[268476879]
[19 Sep 12:16:32] Logged out, Player:Moronddil[268477775]
[19 Sep 12:23:02] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 12:23:03] Logged out, Player:root[268476879]
[19 Sep 12:23:48] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 13:09:19] Logged out, Player:root[268476879]
[19 Sep 13:09:54] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 13:18:52] Logged out, Player:root[268476879]
[19 Sep 13:19:31] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 13:29:09] Logged out, Player:root[268476879]
[19 Sep 13:30:27] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 13:40:36] Logged out, Player:root[268476879]
[19 Sep 13:41:08] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 13:53:28] Logged out, Player:root[268476879]
[19 Sep 13:54:43] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 14:01:11] Logged out, Player:root[268476879]
[19 Sep 14:02:40] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 14:14:53] Logged out, Player:root[268476879]
[19 Sep 14:16:08] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 14:28:45] Logged out, Player:root[268476879]
[19 Sep 14:36:30] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 14:55:50] Logged out, Player:root[268476879]
[19 Sep 14:56:22] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 14:57:56] Logged out, Player:root[268476879]
[19 Sep 14:58:24] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 14:59:33] Logged out, Player:root[268476879]
[19 Sep 15:00:09] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:01:27] Logged out, Player:root[268476879]
[19 Sep 15:01:59] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:04:38] Logged out, Player:root[268476879]
[19 Sep 15:05:16] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:14:31] Logged out, Player:root[268476879]
[19 Sep 15:14:58] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:16:49] Logged out, Player:root[268476879]
[19 Sep 15:17:23] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:19:45] Logged out, Player:root[268476879]
[19 Sep 15:20:17] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:21:36] Logged out, Player:root[268476879]
[19 Sep 15:22:10] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 15:54:00] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 16:03:02] Logged out, Player:root[268476879]
[19 Sep 16:03:22] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 16:03:50] Logged out, Player:root[268476879]
[19 Sep 16:05:24] Logged in, [Character: root[268476879] - Account: admin - IP: 127.0.0.1]
[19 Sep 16:18:14] Logged out, Player:root[268476879]
[19 Sep 16:19:15] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 16:32:23] Logged out, Player:Dafny[268476745]
[19 Sep 16:32:57] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
[19 Sep 16:39:49] Logged out, Player:Joran[268477297]
[19 Sep 16:39:49] Logged out, Player:Ithdornor[268477345]
[19 Sep 16:39:49] Logged out, Player:Dafny[268476745]
[19 Sep 16:40:27] Logged in, [Character: Dafny[268476745] - Account: dex - IP: 127.0.0.1]
